번호,개방서비스명,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,관리주체
103,병원,2003-11-06,1,영업/정상,13,영업중,,,,,041-935-2650,,,,충청남도 보령시 남대천로 14 (대천동),33454,통합요양병원,2019-02-25 18:20,2019-02-27 2:40,요양병원(일반요양병원),163595.3534,316904.5268,요양병원(일반요양병원),8,19,91,0,101 113 114 115 122 308,"내과, 이비인후과, 피부과, 비뇨의학과, 가정의학과, 침구과",,,,0,0,,,0,,시군구
104,병원,2005-01-27,1,영업/정상,13,영업중,,,,,041-931-8330,0,355-060,충청남도 보령시 궁촌동 156-12,충청남도 보령시 대해로 52 (궁촌동),33459,신제일병원,2023-08-22 17:46,2023-08-24 2:40,병원,163431.6369,315940.5853,병원,5,31,110,0,101 104 105 106111,"내과, 외과, 정형외과",,,,0,0,,,0,,시군구
105,병원,2009-04-20,1,영업/정상,13,영업중,,,,,041-934-1522,9796,,,충청남도 보령시 옥마로 277 (화산동),33430,보령엘피스병원,2024-01-19 10:13,2024-01-21 2:40,정신병원,165982.4004,317240.9554,정신병원,11,35,180,9796,103,정신건강의학과,,,,0,0,,,0,,시군구
106,병원,2009-12-16,1,영업/정상,13,영업중,,,,,419351166,,355-893,충청남도 보령시 청라면 장산리 828번지 8호 보령시립노인전문병원,충청남도 보령시 청라면 질재로 373 (보령시립노인전문병원),33421,보령시립노인전문병원,2021-07-01 15:23,2021-07-03 2:40,요양병원(노인병원),164830.3953,322833.0103,요양병원(노인병원),14,33,160,4344,122 101 120 102 301,"내과, 신경과, 재활의학과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
107,병원,2007-06-08,4,취소/말소/만료/정지/중지,24,직권폐업,2020-06-05,,,,041-934-3261,,,,충청남도 보령시 중앙로 16 (동대동),33467,의료법인대웅의료재단보령요양병원,2020-10-15 14:13,2020-10-17 2:40,요양병원(일반요양병원),163959.0149,316236.234,요양병원(일반요양병원),7,21,98,1433.49,101 102 104 105 122 301,"내과, 신경과, 외과, 정형외과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
108,병원,2007-07-24,2,휴업,2,휴업,,2023-10-17,2024-10-16,,041-427-1004,7452.34,,,충청남도 아산시 염치읍 송곡안길 31,31450,의료법인 참의료재단 아산참요양병원,2023-10-17 11:01,2023-10-19 2:40,요양병원(일반요양병원),,,요양병원(일반요양병원),5,53,236,7452.34,301 122 120 114 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 피부과, 재활의학과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
109,병원,2008-01-29,3,폐업,3,폐업,2020-12-28,,,,041-532-8264,,336-821,충청남도 아산시 영인면 상성리 305-3,충청남도 아산시 영인면 상성길50번길 106,31431,시민병원,2022-01-21 13:59,2023-07-14 2:40,정신병원,193983.7063,372691.1954,정신병원,6,29,192,1997.95,103,정신건강의학과,,,,0,0,,,0,,시군구
110,병원,2008-09-05,3,폐업,3,폐업,2009-07-02,2009-05-18,2009-07-18,,041-547-0026,,336-050,충청남도 아산시 용화동 368-51,충청남도 아산시 시민로329번길 82 (용화동),336-050,남산두성병원,2012-08-27 17:40,2018-08-31 23:59,병원,199324.4179,363630.5349,병원,2,8,40,1341.73,101 104,"내과, 외과",,,,0,0,,,0,,시군구
111,병원,2009-07-31,3,폐업,3,폐업,2023-05-31,,,,041-533-6119,,,충청남도 아산시 풍기동 16-1,충청남도 아산시 온천대로1740번길 9 (풍기동),31528,아람메디컬 병원,2023-05-30 16:41,2023-07-14 2:40,정신병원,202580.0894,363658.6463,정신병원,12,25,109,1226.08,103,정신건강의학과,,,,0,0,,,0,,시군구
112,병원,2013-05-06,3,폐업,3,폐업,2013-09-05,,,,041-534-6999`,,336-010,충청남도 아산시 온천동,충청남도 아산시 온천대로 1436-18 (온천동),336-010,온양요양병원,2013-09-05 11:30,2018-08-31 23:59,요양병원(일반요양병원),199785.9645,364509.1516,요양병원(일반요양병원),1,16,100,471.45,101 104 122 120 105 308,"내과, 외과, 정형외과, 재활의학과, 가정의학과, 침구과",,,,0,0,,,0,,시군구
113,병원,2023-08-18,1,영업/정상,13,영업중,,,,,041-531-1192,1235.36,,,"충청남도 아산시 탕정면 한들물빛6로 14, 5.6.7층",31465,탑한방병원,2023-12-11 17:26,2023-12-13 2:40,한방병원,207480.3631,365115.7795,한방병원,15,14,46,1235.36,308 307 306 304 303 302 301 122 120 114 111 109 102 101,"내과, 신경과, 마취통증의학과, 소아청소년과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
114,병원,1986-12-12,1,영업/정상,13,영업중,,,,,041-548-9851,5810.75,336-855,충청남도 아산시 배방읍 세교리 348번지 5호,충청남도 아산시 배방읍 휴대세교길 101,31475,의료법인 정빈의료재단 아산병원,2023-11-10 4:13,2023-11-12 2:40,정신병원,209224.196,364012.3583,정신병원,22,83,289,5810.75,103,정신건강의학과,,,,0,0,,,0,,시군구
115,병원,1999-11-30,1,영업/정상,13,영업중,,,,,041-543-3580,4744.56,336-863,충청남도 아산시 음봉면 월랑리 119,충청남도 아산시 음봉면 음봉로681번길 76,31416,열린성애병원,2023-12-08 0:43,2023-12-10 2:40,정신병원,207078.4273,370827.5006,정신병원,21,58,237,4744.56,103,정신건강의학과,,,,0,0,,,0,,시군구
116,병원,2014-03-18,1,영업/정상,13,영업중,,,,,041-360-5555,,,,충청남도 아산시 청운로 51 (온천동),31573,의료법인 다솔의료재단 늘푸른요양병원,2023-06-26 14:59,2023-06-28 2:40,요양병원(일반요양병원),200454.5326,364147.8877,요양병원(일반요양병원),31,40,231,4500,102 104 106 122 301 306 308,"신경과, 외과, 신경외과, 가정의학과, 한방내과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
117,병원,2015-06-19,1,영업/정상,13,영업중,,,,,041-533-3391,,,충청남도 아산시 배방읍 공수리 1594번지,충청남도 아산시 배방읍 배방로13번길 13,31482,꿈크는아이병원,2023-06-26 14:58,2023-06-28 2:40,병원,204899.1162,363846.5903,병원,16,34,52,1228.92,111,소아청소년과,,,,0,0,,,0,,시군구
118,병원,2017-04-11,1,영업/정상,13,영업중,,,,,-2886,,,,충청남도 아산시 문화로 379 (모종동),31528,도솔한방병원,2023-03-30 9:11,2023-05-26 8:48,한방병원,201698.0463,364233.7748,한방병원,13,17,51,1817,101 120 122 301 302 303 304 305 306 307 308,"내과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
119,병원,2002-12-30,1,영업/정상,13,영업중,,,,,041-546-3636,830.22,,,충청남도 아산시 시민로 388 (온천동),31513,현대병원,2023-12-20 14:44,2023-12-23 2:40,병원,200023.9456,364636.8109,병원,23,21,46,830.22,115 105 104 101,"내과, 외과, 정형외과, 비뇨의학과",,,,0,0,,,0,,시군구
120,병원,2004-06-04,1,영업/정상,13,영업중,,,,,041-545-6114,,336-040,충청남도 아산시 모종동 568-8,충청남도 아산시 번영로230번길 13 (모종동),31526,미래한국병원,2023-06-26 14:57,2023-06-28 2:40,병원,201388.64,364617.8466,병원,13,28,133,1021.27,101 104 109 105 106 116,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
121,병원,2007-04-30,1,영업/정상,13,영업중,,,,,041-549-7575,,336-012,충청남도 아산시 온천2동 230-1,충청남도 아산시 온천대로 1446 (온천동),31506,아산삼성요양병원,2023-06-26 14:54,2023-06-28 2:40,요양병원(일반요양병원),199803.4707,364554.906,요양병원(일반요양병원),9,21,106,2334.4,101 104 122 120 102 105 308 301 211,"내과, 신경과, 외과, 정형외과, 재활의학과, 가정의학과, 치과, 한방내과, 침구과",,,,0,0,,,0,,시군구
122,병원,2009-08-14,1,영업/정상,13,영업중,,,,,041-540-3900,1682,,충청남도 아산시 권곡동 540-2,충청남도 아산시 충무로 74 (권곡동),31515,리더스아산병원,2023-10-18 16:24,2023-10-20 2:40,병원,200525.477,365128.4443,병원,14,8,31,1682,105 101 109 116,"내과, 정형외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
123,병원,2015-11-06,1,영업/정상,13,영업중,,,,,041-546-9800,,,,"충청남도 아산시 배방읍 희망로46번길 45-9 (정주프라자, 지하1층, 2~5층)",31470,신도시이진병원,2023-02-08 17:32,2023-05-26 8:48,병원,209510.71,365374.975,병원,33,29,54,2483.02,111,소아청소년과,,,,0,0,,,0,,시군구
124,병원,2012-12-04,1,영업/정상,13,영업중,,,,,041-542-8118,,336-912,충청남도 아산시 도고면 와산리 53번지 3호,충청남도 아산시 도고면 온천대로 697,31547,의료법인 광덕의료재단 도고온천요양병원,2023-06-26 14:57,2023-06-28 2:40,요양병원(일반요양병원),193076.7916,362665.3269,요양병원(일반요양병원),18,29,143,1218.87,101 122 120 301 306,"내과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과",,,,0,0,,,0,,시군구
125,병원,2013-05-14,1,영업/정상,13,영업중,,,,,041-545-2875,,336-857,충청남도 아산시 배방읍 장재리 1725번지,"충청남도 아산시 배방읍 희망로46번길 19-3, 10층",31470,의료법인 산울의료재단 스파인치과병원,2023-01-30 13:55,2023-02-01 2:40,치과병원,209251.1771,365276.2605,치과병원,2,0,0,177.33,202 404 407 205 210,"치과보철과, 치주과, 예방치과, 치과교정과, 치과보존과",,,,0,0,,,0,,시군구
126,병원,2013-08-19,1,영업/정상,13,영업중,,,,,041-549-2100,3156.58,,,충청남도 아산시 도고면 도고면로 179,31551,아산유리의료재단 아산유리요양병원,2023-08-10 17:06,2023-08-12 2:40,요양병원(일반요양병원),189431.2257,362435.7046,요양병원(일반요양병원),35,58,282,3156.58,101 102 120 122 301 306 308,"내과, 신경과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
127,병원,2021-08-06,1,영업/정상,13,영업중,,,,,1600-8383,4908.55,,충청남도 아산시 배방읍 장재리 1716,"충청남도 아산시 배방읍 희망로46번길 16, 지하1~4층, 지상2~6층,10층",31470,삼성미즈병원,2023-11-28 13:14,2023-11-30 2:40,병원,209266.2857,365203.3171,병원,20,49,72,4908.55,111 110 104 101,"내과, 외과, 산부인과, 소아청소년과",,,,0,0,,,0,,시군구
128,병원,2011-04-07,4,취소/말소/만료/정지/중지,24,직권폐업,2018-06-05,,,,543-0011,,336-050,충청남도 아산시 용화동 368번지 51호 2필지,"충청남도 아산시 시민로329번길 82 (용화동,2필지)",,아산효요양병원,2023-05-12 11:03,2023-05-14 2:40,요양병원(일반요양병원),199324.4179,363630.5349,요양병원(일반요양병원),11,28,195,2476.21,101 120 104 105 102 308,"내과, 신경과, 외과, 정형외과, 재활의학과, 침구과",,,,0,0,,,0,,시군구
129,병원,1998-08-29,3,폐업,3,폐업,2015-09-01,,,,041-660-1818,,356-010,충청남도 서산시 동문동 233번지 4호,충청남도 서산시 율지3로 31 (동문동),31993,한서대학교한방병원,2019-09-10 15:06,2019-09-12 2:40,한방병원,151992.6501,364192.7376,한방병원,1,0,43,3274.84,201 301 304 307 308 305 302 306 303,"구강악안면외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
130,병원,2008-07-01,3,폐업,3,폐업,2021-02-01,,,,041-689-7002,,,,충청남도 서산시 중앙로 149 (석림동),32001,충청남도도립서산노인전문병원,2022-05-11 15:54,2022-05-13 2:40,요양병원(노인병원),152212.272,363927.7631,요양병원(노인병원),11,9,49,1561.88,301 122 120 109 106 104 102 101,"내과, 신경과, 외과, 신경외과, 마취통증의학과, 재활의학과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
131,병원,2013-02-13,3,폐업,3,폐업,2014-01-03,2013-12-01,2013-12-31,,041-666-7373~4,,,,충청남도 서산시 중앙로 10 (동문동),356-010,강남한방병원,2014-01-03 14:25,2018-08-31 23:59,한방병원,151064.4052,364722.7174,한방병원,2,8,32,835.66,308 301 302 303 305 306 304,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
132,병원,1989-03-21,1,영업/정상,13,영업중,,,,,041-689-7000,2929.32,356-030,충청남도 서산시 석림동 568번지 5호,충청남도 서산시 중앙로 149 (석림동),32001,충청남도서산의료원,2023-12-21 17:40,2023-12-23 2:40,종합병원,152212.272,363927.7631,종합병원,120,79,278,2929.32,412 411 410 409 408 407 406 405 404 403 402 125 122 119 116 115 113 112 111 110 109 108 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,시군구
133,병원,2006-03-03,1,영업/정상,13,영업중,,,,,041-661-1000,6284.16,356-050,충청남도 서산시 수석동 1번지 1호,충청남도 서산시 수석산업로 5 (수석동),32010,서산중앙병원,2024-01-22 11:14,2024-01-24 2:40,종합병원,155608.7407,364604.7121,종합병원,114,79,299,6284.16,101 104 110 102 105 122 116 109 119 125 401 106 120 115 111 124,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과, 치과",,,,0,0,,,0,,시군구
134,병원,2012-09-28,1,영업/정상,13,영업중,,,,,041-665-1166,6271.05,,충청남도 서산시 석남동 16번지 28호,충청남도 서산시 동헌로 15 (석남동),31995,우리요양병원,2023-10-18 9:42,2023-10-20 2:40,요양병원(일반요양병원),151104.8898,363445.7272,요양병원(일반요양병원),18,25,162,6271.05,101 104 106 111 113 114 122 301 304 306 308,"내과, 외과, 신경외과, 소아청소년과, 이비인후과, 피부과, 가정의학과, 한방내과, 한방안·이비인후·피부과, 한방재활의학과, 침구과",,,,0,0,,,0,,시도
135,병원,2023-03-06,1,영업/정상,13,영업중,,,,,1599-5666,3865.46,,충청남도 서산시 예천동 25-2,"충청남도 서산시 호수공원1로 34, 지하1~지상5층 (예천동)",31990,우리본병원,2024-01-22 15:38,2024-01-24 2:40,병원,151025.7226,363649.6215,병원,30,27,80,3865.46,116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
136,병원,2007-01-02,3,폐업,3,폐업,2020-12-09,2018-06-30,2020-12-31,,041-733-8500,,320-944,충청남도 논산시 성동면 정지리 15번지,충청남도 논산시 성동면 논산평야로 370-10,32926,민들레요양병원,2020-12-11 15:44,2020-12-13 2:40,요양병원(일반요양병원),205515.5276,301714.7732,요양병원(일반요양병원),16,39,246,200,306 122 110,"산부인과, 가정의학과, 한방재활의학과",,,,0,0,,,0,,시군구
137,병원,2008-01-10,1,영업/정상,13,영업중,,,,,041-745-6771,,320-902,충청남도 논산시 강경읍 황산리 33번지 1호,충청남도 논산시 강경읍 대흥로 45-1,32930,라파엘 요양병원,2022-06-06 13:16,2022-06-08 2:40,요양병원(일반요양병원),201008.6536,295214.8288,요양병원(일반요양병원),9,19,126,2274.4,101 104 105 111 114 115 120 116 119 301 302 303 308,"내과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 한방내과, 한방부인과, 한방소아과, 침구과",,,,0,0,,,0,,시군구
138,병원,2008-04-03,1,영업/정상,13,영업중,,,,,041-733-0300,,,충청남도 논산시 취암동 914,충청남도 논산시 시민로331번길 5(취암동),32977,논산사랑요양병원,2021-12-10 13:49,2021-12-12 2:40,요양병원(일반요양병원),208029.7032,299307.9449,요양병원(일반요양병원),19,39,198,2849.75,104 105 122 301,"외과, 정형외과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
139,병원,2008-06-16,1,영업/정상,13,영업중,,,,,041-734-6700,,320-010,충청남도 논산시 강산동 292번지,충청남도 논산시 생뫼길 20 (강산동),32962,논산하나요양병원,2023-04-12 8:44,2023-04-15 2:40,요양병원(일반요양병원),207996.7974,298486.0292,요양병원(일반요양병원),33,43,239,120.2,301 120 114 111 102 101,"내과, 신경과, 소아청소년과, 피부과, 재활의학과, 한방내과",,,,0,0,,,0,,시군구
140,병원,2008-12-23,1,영업/정상,13,영업중,,,,,041-736-7584,,,,충청남도 논산시 연산면 한전2길 49-26,32913,의료법인예향의료재단예향요양병원,2022-06-15 15:14,2022-06-17 2:40,요양병원(일반요양병원),216728.5407,300342.7782,요양병원(일반요양병원),18,44,186,739,101 104 122 301,"내과, 외과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
141,병원,2011-10-31,1,영업/정상,13,영업중,,,,,041-734-9100,2949.52,320-872,충청남도 논산시 연산면 한전리 337번지 11호,충청남도 논산시 연산면 한전2길 52,32913,성지하임병원,2024-01-25 21:13,2024-01-27 2:40,정신병원,216597.7393,300536.7539,정신병원,8,27,161,2949.52,103,정신건강의학과,,,,0,0,,,0,,시군구
142,병원,2014-01-06,1,영업/정상,13,영업중,,,,,041-734-6767,2807.47,,충청남도 논산시 반월동 184-25,충청남도 논산시 해월로 123 (반월동),32951,한마음요양병원,2023-11-27 13:04,2023-11-29 2:40,요양병원(일반요양병원),207234.1641,300241.9257,요양병원(일반요양병원),14,27,181,2807.47,308 306 122 104 102 101,"내과, 신경과, 외과, 가정의학과, 한방재활의학과, 침구과",,,,0,0,,,0,,시도
143,병원,2014-03-10,1,영업/정상,13,영업중,,,,,041-730-2800,7219.82,,충청남도 논산시 상월면 지경리 69-2,충청남도 논산시 상월면 계룡산로237번길 38-60,32905,의료법인명일의료재단 대정요양병원,2024-01-30 18:04,2024-02-01 2:40,요양병원(일반요양병원),214227.2501,312149.2755,요양병원(일반요양병원),21,52,230,7219.82,407 301 122 116 111 104,"외과, 소아청소년과, 영상의학과, 가정의학과, 한방내과, 치과보존과",,,,0,0,,,0,,시도
144,병원,1982-05-04,1,영업/정상,13,영업중,,,,,041-733-2191,8727.41,320-110,충청남도 논산시 취암동 21번지 14호,충청남도 논산시 시민로294번길 14 (취암동),32980,의료법인백제병원,2023-09-13 17:35,2023-09-16 2:40,종합병원,208417.6765,299091.6427,종합병원,204,116,507,8727.41,125 124 118 113 112 111 110 109 107 106 105 103 102 101,"내과, 신경과, 정신건강의학과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 병리과, 직업환경의학과, 응급의학과",,,,0,0,,,0,,시도
145,병원,1994-06-11,1,영업/정상,13,영업중,,,,,041-740-7814,,,충청남도 논산시 연무읍 죽평리 사서함76-16,충청남도 논산시 연무읍 득안대로 450-8 (주거환경개선사업),33012,육군훈련소 지구병원,2021-03-02 10:06,2021-03-04 2:40,병원,208901.1933,290034.564,병원,16,12,100,3078,101 104 105 112 106 107 114 115 113 106 119 109 401,"내과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 안과, 이비인후과, 피부과, 비뇨의학과, 진단검사의학과, 치과",,,,0,0,,,0,,시군구
146,병원,2006-01-11,1,영업/정상,13,영업중,,,,,041-734-9911,,320-804,충청남도 논산시 취암동 516번지 8호,충청남도 논산시 시민로294번길 11 (취암동),32980,논산시립노인전문병원,2022-04-11 13:54,2022-04-13 2:40,요양병원(일반요양병원),208335.3418,299131.8415,요양병원(일반요양병원),15,18,117,3424.05,306 305 301 120 102,"신경과, 재활의학과, 한방내과, 한방신경정신과, 한방재활의학과",,,,0,0,,,0,,시군구
147,병원,2007-05-08,1,영업/정상,13,영업중,,,,,041-741-5552,,320-833,충청남도 논산시 연무읍 동산리 883번지 4호,충청남도 논산시 연무읍 동안로888번길 5,33008,연무요양병원,2023-03-21 11:39,2023-03-23 2:40,요양병원(일반요양병원),209196.2423,292458.0305,요양병원(일반요양병원),16,35,142,2231.14,301 122 113 110 106 105 102 101,"내과, 신경과, 정형외과, 신경외과, 산부인과, 이비인후과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
148,병원,1988-05-20,3,폐업,3,폐업,2013-03-29,,,,041-752-8883,,312-802,충청남도 금산군 금산읍 상리 232-3,,,학교법인금산을지병원,2013-03-29 17:05,2018-08-31 23:59,병원,,,병원,5,40,255,4579,101 105 109 110 125 111 116 122,"내과, 정형외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 가정의학과, 응급의학과",,,,0,0,,,0,,시군구
149,병원,2023-01-30,1,영업/정상,13,영업중,,,,,041-754-8272,,312-806,충청남도 금산군 금산읍 중도리 56번지 12호,충청남도 금산군 금산읍 비단로 183,32738,새금산병원,2023-01-31 13:28,2023-02-02 2:40,병원,244621.1676,289395.8014,병원,13,10,61,2155,101 104 106 109 111 120 125 105,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 재활의학과, 응급의학과",,,,0,0,,,0,,시군구
150,병원,2005-09-09,1,영업/정상,13,영업중,,,,,041-751-2111,,312-852,충청남도 금산군 남일면 황풍리 343번지 6호,충청남도 금산군 남일면 무금로 2145,32753,금산효사랑요양병원,2021-12-27 10:37,2021-12-29 2:40,요양병원(일반요양병원),245463.1396,287037.0396,요양병원(일반요양병원),26,45,228,4334,308 307 305 304 303 302 301 122 106 105 104 101,"내과, 외과, 정형외과, 신경외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
151,병원,2007-09-14,1,영업/정상,13,영업중,,,,,041-751-0014,,312-802,충청남도 금산군 금산읍 상리 100번지,충청남도 금산군 금산읍 인삼로 71,32738,의료법인예은의료재단편안요양병원,2019-01-07 13:00,2019-01-09 2:40,요양병원(일반요양병원),244021.6034,289303.5458,요양병원(일반요양병원),11,15,106,1038.41,122 114 106 105 104 101,"내과, 외과, 정형외과, 신경외과, 피부과, 가정의학과",,,,0,0,,,0,,시군구
152,병원,2007-10-13,1,영업/정상,13,영업중,,,,,754-0060,,312-806,충청남도 금산군 금산읍 중도리 56번지 12호,충청남도 금산군 금산읍 비단로 183,32738,새금산요양병원,2019-01-02 15:43,2019-01-04 2:40,요양병원(일반요양병원),244621.1676,289395.8014,요양병원(일반요양병원),15,22,140,3653,307 303 302 301 115 114 112 111 106 105 104,"외과, 정형외과, 신경외과, 소아청소년과, 안과, 피부과, 비뇨의학과, 한방내과, 한방부인과, 한방소아과, 사상체질과",,,,0,0,,,0,,시군구
153,병원,1974-04-03,3,폐업,3,폐업,2019-02-28,,,,041-835-7582,,323-805,충청남도 부여군 부여읍 구아리 261번지  (사비로 78),충청남도 부여군 부여읍 사비로 78,33151,성요셉병원,2019-02-25 17:04,2019-02-27 2:40,병원,191919.5267,308760.8816,병원,3,19,52,1682.7,122 101,"내과, 가정의학과",,,,0,0,,,0,,시군구
154,병원,2004-03-31,3,폐업,3,폐업,2010-07-27,,,,041-837-7575,,,충청남도 부여군 임천면 비정리 72-1,,,힐링가든노인전문병원,2010-07-27 16:31,2018-08-31 23:59,요양병원(노인병원),,,요양병원(노인병원),3,17,71,1512.96,101 122 102 120,"내과, 신경과, 재활의학과, 가정의학과",,,,0,0,,,0,,시군구
155,병원,2008-07-21,3,폐업,3,폐업,2008-10-06,,,,,,,충청남도 부여군 부여읍 저석리 23-6,,,부여덕성병원,2008-12-11 13:23,2018-08-31 23:59,병원,,,병원,1,17,50,714.22,101 104 109 114 103 111,"내과, 정신건강의학과, 외과, 마취통증의학과, 소아청소년과, 피부과",,,,0,0,,,0,,시군구
156,병원,2010-05-26,3,폐업,3,폐업,2011-01-28,,,,041-833-7200,,323-807,충청남도 부여군 부여읍 저석리 23번지 6호,충청남도 부여군 부여읍 삼충로 776,,덕성요양병원,2011-01-28 18:06,2018-08-31 23:59,요양병원(일반요양병원),198796.0346,314424.597,요양병원(일반요양병원),5,0,66,611.53,122 119 110,"산부인과, 진단검사의학과, 가정의학과",,,,0,0,,,0,,시군구
157,병원,1998-11-11,1,영업/정상,13,영업중,,,,,041-836-1985,,,충청남도 부여군 규암면 반산리 254번지 1호,충청남도 부여군 규암면 반산로 39,33121,부여노인전문병원,2022-11-16 15:34,2022-11-18 2:40,요양병원(일반요양병원),188193.7282,308322.4276,요양병원(일반요양병원),25,68,240,4918.9,308 307 306 305 304 301 122 120 114 109 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
158,병원,2003-06-09,1,영업/정상,13,영업중,,,,,041-833-2089,,,충청남도 부여군 부여읍 신정리 404-2,충청남도 부여군 부여읍 삼충로648번길 41,33128,부여청담병원,2023-03-22 15:47,2023-07-14 2:40,정신병원,197980.116,314210.4988,정신병원,11,36,198,3435.2,103,정신건강의학과,,,,0,0,,,0,,시군구
159,병원,2005-05-13,1,영업/정상,13,영업중,,,,,041-832-7261,2162.97,,충청남도 부여군 장암면 합곡리 330,충청남도 부여군 장암면 충절로1713번길 16,33182,의료법인부여의료재단 부여다사랑병원,2024-01-05 6:43,2024-01-07 2:40,정신병원,188196.3013,303126.1987,정신병원,13,44,182,2162.97,121 111 103 101,"내과, 정신건강의학과, 소아청소년과, 결핵과",,,,0,0,,,0,,시군구
160,병원,2007-09-21,1,영업/정상,13,영업중,,,,,041-837-1200,,,,충청남도 부여군 부여읍 계백로 200,33169,학교법인 건양교육재단 건양대학교부여병원,2023-07-24 13:13,2023-07-26 2:40,병원,191078.4775,308321.9683,병원,20,18,74,3178.07,101 104 105 109 110 111 116 120 122,"내과, 외과, 정형외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 재활의학과, 가정의학과",,,,0,0,,,0,,시군구
161,병원,2007-12-28,1,영업/정상,13,영업중,,,,,041-834-5114,,,충청남도 부여군 초촌면 소사리 465-2,충청남도 부여군 초촌면 소호로 71,33173,부여효요양병원,2022-12-12 16:38,2023-05-26 8:48,요양병원(일반요양병원),204350.575,307205.8706,요양병원(일반요양병원),15,29,148,1962,301 122 120 105 104 102 101,"내과, 신경과, 외과, 정형외과, 재활의학과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
162,병원,2011-04-04,1,영업/정상,13,영업중,,,,,041-833-7200,,323-807,충청남도 부여군 부여읍 저석리 23번지 6호  외 1필지,충청남도 부여군 부여읍 삼충로 776,33128,의료법인연화의료재단 부여요양병원,2023-07-14 11:46,2023-07-16 2:40,요양병원(일반요양병원),198796.0346,314424.597,요양병원(일반요양병원),15,31,150,3482.41,301 122 115,"비뇨의학과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
